"Month","Advertising","Sales"
"1-01",12,15
"1-02",20.5,16
"1-03",21,18
"1-04",15.5,27
"1-05",15.3,21
"1-06",23.5,49
"1-07",24.5,21
"1-08",21.3,22
"1-09",23.5,28
"1-10",28,36
"1-11",24,40
"1-12",15.5,3
"2-01",17.3,21
"2-02",25.3,29
"2-03",25,62
"2-04",36.5,65
"2-05",36.5,46
"2-06",29.6,44
"2-07",30.5,33
"2-08",28,62
"2-09",26,22
"2-10",21.5,12
"2-11",19.7,24
"2-12",19,3
"3-01",16,5
"3-02",20.7,14
"3-03",26.5,36
"3-04",30.6,40
"3-05",32.3,49
"3-06",29.5,7
"3-07",28.3,52
"3-08",31.3,65
"3-09",32.2,17
"3-10",26.4,5
"3-11",23.4,17
"3-12",16.4,1

Advertising and sales data: 36 consecutive monthly sales and advertising expenditures of a dietary weight control product

